Rooms,Type,Price,Distance,Bathroom,Car,Region,LogPrice
4,h,1717500,6.4,2,1,Northern Metropolitan,14.3563803
5,h,2840000,6.4,4,4,Northern Metropolitan,14.85931461
2,u,525500,6.4,1,1,Northern Metropolitan,13.17210547
2,t,805000,6.4,2,3,Northern Metropolitan,13.59859756
2,u,465000,6.4,1,1,Northern Metropolitan,13.04979268
3,h,2000000,6.4,3,2,Northern Metropolitan,14.50865774
3,h,1540000,6.4,1,2,Northern Metropolitan,14.24729297
2,u,820000,6.4,1,1,Northern Metropolitan,13.61705962
4,h,1830000,6.4,2,2,Northern Metropolitan,14.41982652
4,h,2100000,6.4,2,2,Northern Metropolitan,14.5574479
3,h,865000,6.4,1,1,Northern Metropolitan,13.67048479
2,u,390000,6.4,1,1,Northern Metropolitan,12.87390202
2,t,650000,6.4,1,0,Northern Metropolitan,13.38472764
2,u,512000,6.4,1,1,Northern Metropolitan,13.1460799
3,h,1165000,6.4,1,2,Northern Metropolitan,13.96823164
4,h,1900000,6.4,2,2,Northern Metropolitan,14.45736444
3,h,1485000,6.4,0,0,Northern Metropolitan,14.21092533
4,h,1950000,6.4,2,3,Northern Metropolitan,14.48333993
3,h,520000,13.8,2,1,Western Metropolitan,13.16158409
5,h,1525000,13.8,3,3,Western Metropolitan,14.23750497
2,t,720000,13.8,1,2,Western Metropolitan,13.48700649
3,h,1120000,13.8,1,2,Western Metropolitan,13.92883924
4,h,780000,13.8,1,4,Western Metropolitan,13.5670492
4,h,1780000,13.8,3,6,Western Metropolitan,14.39212392
3,u,630000,13.8,1,2,Western Metropolitan,13.3534751
2,u,406000,13.8,1,1,Western Metropolitan,12.91410844
3,h,660000,13.8,1,1,Western Metropolitan,13.39999511
3,h,683500,13.8,1,1,Western Metropolitan,13.43498194
2,u,580000,13.8,1,1,Western Metropolitan,13.27078338
3,h,1335000,13.8,1,4,Western Metropolitan,14.10444185
3,t,800000,13.8,2,2,Western Metropolitan,13.59236701
2,u,510000,13.8,1,1,Western Metropolitan,13.142166
4,h,1070000,13.8,2,2,Western Metropolitan,13.88316921
2,u,425000,13.8,1,2,Western Metropolitan,12.95984445
3,u,605000,13.8,2,2,Western Metropolitan,13.31298374
3,t,705000,13.8,2,2,Western Metropolitan,13.46595308
2,u,391000,13.8,1,1,Western Metropolitan,12.87646284
2,u,440000,13.8,1,1,Western Metropolitan,12.99453001
4,h,845000,13.8,1,2,Western Metropolitan,13.64709191
3,t,743000,13.8,2,2,Western Metropolitan,13.51845132
3,u,730000,13.8,2,1,Western Metropolitan,13.50079981
3,h,635000,13.8,1,4,Western Metropolitan,13.36138028
2,u,620000,13.8,1,1,Western Metropolitan,13.33747476
2,u,447000,13.8,1,1,Western Metropolitan,13.01031387
3,u,730000,13.8,2,1,Western Metropolitan,13.50079981
3,h,678000,13.8,1,2,Western Metropolitan,13.42690257
2,u,580000,13.8,2,1,Western Metropolitan,13.27078338
3,h,712000,13.8,1,2,Western Metropolitan,13.47583319
3,h,840000,13.8,2,2,Western Metropolitan,13.64115717
3,h,980000,13.8,1,2,Western Metropolitan,13.79530785
3,t,605100,13.8,2,0,Western Metropolitan,13.31314901
3,h,880000,13.8,3,1,Western Metropolitan,13.68767719
3,u,577000,13.8,2,1,Western Metropolitan,13.26559755
4,h,1030000,13.8,1,0,Western Metropolitan,13.84506936
3,u,605000,13.8,1,2,Western Metropolitan,13.31298374
3,h,753000,13.8,2,2,Western Metropolitan,13.53182051
2,h,857000,13.8,2,1,Western Metropolitan,13.6611932
3,h,1500000,13.8,1,1,Western Metropolitan,14.22097567
3,u,730000,13.8,2,1,Western Metropolitan,13.50079981
3,h,900000,13.8,1,4,Western Metropolitan,13.71015004
3,h,740000,13.8,1,2,Western Metropolitan,13.51440547
4,h,931000,13.8,2,3,Western Metropolitan,13.74401456
2,h,535600,13.8,1,1,Western Metropolitan,13.19114289
5,h,1085000,11.1,3,6,Western Metropolitan,13.89709054
3,h,781000,11.1,1,2,Western Metropolitan,13.56833043
3,h,750000,11.1,1,3,Western Metropolitan,13.52782849
2,t,421000,11.1,1,1,Western Metropolitan,12.95038811
3,h,1405000,11.1,1,3,Western Metropolitan,14.15554786
3,h,683000,11.1,1,2,Western Metropolitan,13.43425014
3,h,623000,11.1,1,3,Western Metropolitan,13.3423018
3,h,720000,11.1,2,1,Western Metropolitan,13.48700649
3,h,588000,11.1,1,1,Western Metropolitan,13.28448223
3,h,710000,11.1,1,3,Western Metropolitan,13.47302025
4,h,875000,11.1,1,4,Western Metropolitan,13.68197917
3,h,700000,11.1,1,3,Western Metropolitan,13.45883561
2,t,640000,11.1,1,1,Western Metropolitan,13.36922346
4,h,650000,11.1,1,4,Western Metropolitan,13.38472764
3,h,675000,11.1,2,2,Western Metropolitan,13.42246797
3,h,708000,11.1,1,2,Western Metropolitan,13.47019937
4,h,965000,11.1,1,4,Western Metropolitan,13.77988338
3,h,680000,11.1,1,3,Western Metropolitan,13.42984808
3,h,770000,11.1,1,3,Western Metropolitan,13.55414579
3,h,923000,11.1,1,2,Western Metropolitan,13.73538451
4,h,693000,11.1,2,4,Western Metropolitan,13.44878528
3,h,620000,11.1,2,2,Western Metropolitan,13.33747476
3,h,728500,11.1,1,1,Western Metropolitan,13.4987429
3,h,931000,11.1,2,1,Western Metropolitan,13.74401456
3,h,988000,11.1,1,4,Western Metropolitan,13.80343798
3,h,590000,11.1,1,2,Western Metropolitan,13.28787782
2,h,610000,11.1,1,2,Western Metropolitan,13.32121424
3,h,815000,11.1,2,3,Western Metropolitan,13.61094339
4,h,970000,11.1,1,2,Western Metropolitan,13.78505135
4,h,760000,11.1,1,3,Western Metropolitan,13.54107371
4,t,847500,11.1,3,1,Western Metropolitan,13.65004612
4,h,1200000,11.1,1,4,Western Metropolitan,13.99783211
3,h,700000,11.1,1,1,Western Metropolitan,13.45883561
3,h,625000,11.1,1,1,Western Metropolitan,13.34550693
2,u,292000,11.1,1,1,Western Metropolitan,12.58450908
2,u,599000,6.3,1,1,Southern Metropolitan,13.30301688
2,u,550000,6.3,1,0,Southern Metropolitan,13.21767356
3,u,995000,6.3,2,2,Southern Metropolitan,13.81049802
3,t,1205000,6.3,2,2,Southern Metropolitan,14.00199012
3,h,1939000,6.3,2,2,Southern Metropolitan,14.47768293
1,u,421500,6.3,1,0,Southern Metropolitan,12.95157506
3,h,1870000,6.3,1,1,Southern Metropolitan,14.44144899
2,u,678000,6.3,1,2,Southern Metropolitan,13.42690257
3,t,1918000,6.3,2,2,Southern Metropolitan,14.46679353
2,u,660000,6.3,1,1,Southern Metropolitan,13.39999511
3,h,2050000,6.3,2,1,Southern Metropolitan,14.53335035
2,u,700000,6.3,1,2,Southern Metropolitan,13.45883561
2,u,3625000,6.3,2,2,Southern Metropolitan,15.10336485
4,h,3000000,6.3,2,2,Southern Metropolitan,14.91412285
5,h,1525000,6.3,2,2,Southern Metropolitan,14.23750497
3,u,735000,6.3,2,1,Southern Metropolitan,13.50762578
2,u,825000,6.3,1,1,Southern Metropolitan,13.62313867
3,t,1586000,6.3,2,2,Southern Metropolitan,14.27672568
2,u,645000,6.3,1,1,Southern Metropolitan,13.3770056
1,h,1435000,6.3,2,1,Southern Metropolitan,14.17667541
1,u,280000,6.3,1,1,Southern Metropolitan,12.54254488
1,u,400000,6.3,1,1,Southern Metropolitan,12.89921983
2,h,1780000,6.3,2,2,Southern Metropolitan,14.39212392
2,u,592500,6.3,1,1,Southern Metropolitan,13.29210615
2,h,1210000,6.3,1,0,Southern Metropolitan,14.00613092
4,h,2801000,6.3,2,2,Southern Metropolitan,14.84548705
1,u,390000,6.3,1,0,Southern Metropolitan,12.87390202
3,h,1800000,6.3,2,2,Southern Metropolitan,14.40329722
4,h,2200000,6.3,1,2,Southern Metropolitan,14.60396792
1,u,324000,6.3,1,1,Southern Metropolitan,12.68849879
6,h,5525000,6.3,3,4,Southern Metropolitan,15.52479381
2,h,1125000,6.3,1,2,Southern Metropolitan,13.93329359
3,h,2250000,6.3,3,1,Southern Metropolitan,14.62644077
3,h,2360000,6.3,2,0,Southern Metropolitan,14.67417218
2,h,1900000,6.3,2,0,Southern Metropolitan,14.45736444
1,u,440000,6.3,1,1,Southern Metropolitan,12.99453001
2,u,490000,6.3,1,1,Southern Metropolitan,13.10216067
3,h,2365000,6.3,2,1,Southern Metropolitan,14.67628858
3,h,1300000,6.3,1,2,Southern Metropolitan,14.07787482
3,u,732000,6.3,2,2,Southern Metropolitan,13.50353579
2,u,704000,6.3,1,1,Southern Metropolitan,13.46453364
2,u,620000,6.3,1,1,Southern Metropolitan,13.33747476
3,h,1900000,6.3,1,2,Southern Metropolitan,14.45736444
1,u,315000,6.3,1,1,Southern Metropolitan,12.66032792
1,u,450000,6.3,1,1,Southern Metropolitan,13.01700286
2,u,710000,6.3,1,1,Southern Metropolitan,13.47302025
2,u,872000,6.3,1,1,Southern Metropolitan,13.6785447
2,u,598000,6.3,1,1,Southern Metropolitan,13.30134603
3,h,1285000,6.3,1,2,Southern Metropolitan,14.06626928
4,h,3660000,6.3,3,2,Southern Metropolitan,15.11297371
2,u,520000,6.3,1,1,Southern Metropolitan,13.16158409
4,h,3625000,6.3,1,2,Southern Metropolitan,15.10336485
4,h,4200000,6.3,3,3,Southern Metropolitan,15.25059508
3,t,1101000,6.3,1,2,Southern Metropolitan,13.91172942
3,h,3512500,6.3,2,2,Southern Metropolitan,15.07183859
4,h,2000000,6.3,3,4,Southern Metropolitan,14.50865774
3,u,869000,6.3,1,1,Southern Metropolitan,13.6750984
5,h,2810000,6.3,2,2,Southern Metropolitan,14.84869504
2,u,565000,6.3,1,1,Southern Metropolitan,13.24458101
1,u,567000,6.3,1,1,Southern Metropolitan,13.24811458
2,u,546000,6.3,0,0,Southern Metropolitan,13.21037425
2,u,471500,6.3,1,1,Southern Metropolitan,13.06367438
2,u,455000,5.9,1,2,Western Metropolitan,13.0280527
3,h,940000,5.9,1,2,Western Metropolitan,13.75363515
2,u,467000,5.9,1,1,Western Metropolitan,13.05408454
3,h,1380000,5.9,2,2,Western Metropolitan,14.13759406
2,u,490000,5.9,1,1,Western Metropolitan,13.10216067
4,h,1850000,5.9,3,1,Western Metropolitan,14.4306962
3,h,1284000,5.9,1,2,Western Metropolitan,14.06549076
3,h,971000,5.9,2,2,Western Metropolitan,13.78608175
2,h,710000,5.9,1,1,Western Metropolitan,13.47302025
6,h,2425000,5.9,3,2,Western Metropolitan,14.70134208
2,h,750000,5.9,1,1,Western Metropolitan,13.52782849
2,h,1053000,5.9,1,1,Western Metropolitan,13.86715379
3,h,1377000,5.9,1,1,Western Metropolitan,14.13541778
3,h,970000,5.9,1,2,Western Metropolitan,13.78505135
2,h,940000,5.9,1,1,Western Metropolitan,13.75363515
2,h,751000,5.9,1,1,Western Metropolitan,13.52916093
2,h,950000,5.9,1,1,Western Metropolitan,13.76421726
2,u,685000,5.9,1,2,Western Metropolitan,13.43717412
3,h,1230000,5.9,1,2,Western Metropolitan,14.02252473
2,h,636500,5.9,1,1,Western Metropolitan,13.3637397
3,h,910000,5.9,1,0,Western Metropolitan,13.72119988
2,h,770000,5.9,1,1,Western Metropolitan,13.55414579
3,h,960000,5.9,2,2,Western Metropolitan,13.77468856
4,h,890000,5.9,1,1,Western Metropolitan,13.69897674
2,h,965000,5.9,1,1,Western Metropolitan,13.77988338
3,h,1440000,5.9,1,1,Western Metropolitan,14.18015367
2,h,955000,5.9,1,0,Western Metropolitan,13.76946662
2,u,450000,5.9,1,1,Western Metropolitan,13.01700286
3,h,801000,5.9,1,2,Western Metropolitan,13.59361623
3,h,1000000,5.9,2,2,Western Metropolitan,13.81551056
3,h,1435000,5.9,2,2,Western Metropolitan,14.17667541
1,u,390000,5.9,1,1,Western Metropolitan,12.87390202
3,h,1425000,5.9,2,2,Western Metropolitan,14.16968237
4,h,1340000,5.9,2,2,Western Metropolitan,14.10818017
3,h,955000,5.9,1,1,Western Metropolitan,13.76946662
4,h,1100000,5.9,2,5,Western Metropolitan,13.91082074
3,h,1255000,5.9,2,2,Western Metropolitan,14.04264613
2,u,432000,5.9,1,1,Western Metropolitan,12.97618087
4,h,1640000,5.9,3,2,Western Metropolitan,14.3102068
6,h,1430000,5.9,2,1,Western Metropolitan,14.173185
2,u,610000,5.9,1,1,Western Metropolitan,13.32121424
3,h,940000,5.9,3,1,Western Metropolitan,13.75363515
3,h,890000,5.9,1,1,Western Metropolitan,13.69897674
3,h,1180000,5.9,2,2,Western Metropolitan,13.981025
4,h,1480000,5.9,2,2,Western Metropolitan,14.20755265
2,h,1150000,5.9,1,1,Western Metropolitan,13.9552725
3,h,1350000,5.9,1,3,Western Metropolitan,14.11561515
5,h,1905000,5.9,2,2,Western Metropolitan,14.45999257
2,t,865000,5.9,2,1,Western Metropolitan,13.67048479
2,t,705000,5.9,2,1,Western Metropolitan,13.46595308
2,u,442000,5.9,1,1,Western Metropolitan,12.99906516
2,u,540000,5.9,2,1,Western Metropolitan,13.19932442
3,h,1037500,5.9,1,2,Western Metropolitan,13.85232453
3,t,1050000,5.9,2,2,Western Metropolitan,13.86430072
2,u,440000,5.9,1,1,Western Metropolitan,12.99453001
2,h,1010000,5.9,1,1,Western Metropolitan,13.82546089
4,h,1430000,5.9,2,0,Western Metropolitan,14.173185
2,u,570000,5.9,1,1,Western Metropolitan,13.25339164
2,u,690000,5.9,1,1,Western Metropolitan,13.44444688
3,h,1291000,5.9,1,2,Western Metropolitan,14.07092767
3,h,1130000,5.9,2,1,Western Metropolitan,13.93772819
3,h,1135000,5.9,1,1,Western Metropolitan,13.94214321
4,h,950000,5.9,2,1,Western Metropolitan,13.76421726
3,u,790000,5.9,2,1,Western Metropolitan,13.57978822
2,u,390000,5.9,1,1,Western Metropolitan,12.87390202
4,h,1345000,5.9,1,1,Western Metropolitan,14.11190457
3,h,1381500,5.9,2,2,Western Metropolitan,14.13868042
3,h,940000,5.9,2,2,Western Metropolitan,13.75363515
3,h,995000,5.9,2,1,Western Metropolitan,13.81049802
3,h,1050000,5.9,1,3,Western Metropolitan,13.86430072
3,h,786000,5.9,2,1,Western Metropolitan,13.57471207
2,h,705000,5.9,1,3,Western Metropolitan,13.46595308
2,h,760000,5.9,1,1,Western Metropolitan,13.54107371
3,u,487500,5.9,1,3,Western Metropolitan,13.09704557
3,t,1000000,5.9,2,2,Western Metropolitan,13.81551056
4,h,1110000,5.9,2,1,Western Metropolitan,13.91987057
4,h,1300000,5.9,1,4,Western Metropolitan,14.07787482
3,h,1060000,5.9,1,1,Western Metropolitan,13.87377947
3,h,1410000,5.9,2,2,Western Metropolitan,14.15910026
3,h,1305000,5.9,1,1,Western Metropolitan,14.0817136
3,h,932500,5.9,2,1,Western Metropolitan,13.74562443
3,h,965000,5.9,1,0,Western Metropolitan,13.77988338
3,h,1215000,5.9,1,1,Western Metropolitan,14.01025463
2,u,545000,5.9,1,2,Western Metropolitan,13.20854107
4,h,1705000,5.9,2,4,Western Metropolitan,14.34907567
3,h,970000,5.9,1,1,Western Metropolitan,13.78505135
2,h,925000,5.9,1,1,Western Metropolitan,13.73754902
4,h,2650000,11,3,2,Southern Metropolitan,14.7900702
3,h,1670000,11,2,2,Southern Metropolitan,14.32833418
3,t,955000,11,2,2,Southern Metropolitan,13.76946662
3,t,2050000,11,3,4,Southern Metropolitan,14.53335035
2,u,500000,11,1,1,Southern Metropolitan,13.12236338
2,h,1575000,11,1,2,Southern Metropolitan,14.26976583
3,h,1555000,11,2,2,Southern Metropolitan,14.2569861
3,h,1100000,11,3,2,Southern Metropolitan,13.91082074
3,h,1337000,11,1,2,Southern Metropolitan,14.10593886
8,h,2950000,11,7,4,Southern Metropolitan,14.89731573
4,h,2215000,11,2,1,Southern Metropolitan,14.61076296
3,h,1518000,11,2,2,Southern Metropolitan,14.23290424
3,h,1710000,11,1,2,Southern Metropolitan,14.35200393
3,h,1655000,11,1,3,Southern Metropolitan,14.31931157
4,h,1550000,11,2,2,Southern Metropolitan,14.25376549
3,h,1662000,11,2,2,Southern Metropolitan,14.32353225
3,h,1665000,11,2,3,Southern Metropolitan,14.32533568
2,h,1445000,11,1,2,Southern Metropolitan,14.18361988
5,h,3510000,11,5,2,Southern Metropolitan,15.0711266
3,t,968000,11,1,1,Southern Metropolitan,13.78298737
3,t,900000,11,2,2,Southern Metropolitan,13.71015004
3,h,1500000,11,1,2,Southern Metropolitan,14.22097567
5,h,2752000,11,4,2,Southern Metropolitan,14.82783848
3,h,1500000,11,2,2,Southern Metropolitan,14.22097567
4,h,1800000,11,2,4,Southern Metropolitan,14.40329722
3,h,1830000,11,2,3,Southern Metropolitan,14.41982652
3,h,1415000,11,1,1,Southern Metropolitan,14.16264009
2,h,1440000,11,1,1,Southern Metropolitan,14.18015367
4,t,1250000,11,2,2,Southern Metropolitan,14.03865411
3,h,1422000,11,1,2,Southern Metropolitan,14.16757489
5,h,1600000,11,3,4,Southern Metropolitan,14.28551419
4,h,1860000,11,2,3,Southern Metropolitan,14.43608705
3,t,1710000,11,2,2,Southern Metropolitan,14.35200393
4,h,1790000,11,2,2,Southern Metropolitan,14.39772618
4,h,1950000,11,2,2,Southern Metropolitan,14.48333993
3,h,1600000,11,1,2,Southern Metropolitan,14.28551419
3,h,1320000,11,1,2,Southern Metropolitan,14.09314229
3,h,1650000,11,1,1,Southern Metropolitan,14.31628585
2,h,995000,12.2,1,1,Southern Metropolitan,13.81049802
3,h,1250000,12.2,1,1,Southern Metropolitan,14.03865411
3,u,1045000,12.2,2,2,Southern Metropolitan,13.85952744
4,h,1200000,12.2,3,2,Southern Metropolitan,13.99783211
2,h,1075000,12.2,1,2,Southern Metropolitan,13.88783122
4,h,1500000,12.2,2,2,Southern Metropolitan,14.22097567
3,h,1120000,12.2,1,2,Southern Metropolitan,13.92883924
2,t,700000,12.2,1,2,Southern Metropolitan,13.45883561
3,h,761000,12.2,2,4,Southern Metropolitan,13.54238864
4,h,1270000,12.2,2,1,Southern Metropolitan,14.05452746
4,h,1510000,12.2,2,2,Southern Metropolitan,14.22762021
3,h,1365000,12.2,1,1,Southern Metropolitan,14.12666499
4,h,1100000,12.2,2,2,Southern Metropolitan,13.91082074
4,h,1415000,12.2,3,2,Southern Metropolitan,14.16264009
2,u,690000,12.2,1,1,Southern Metropolitan,13.44444688
3,h,1631000,12.2,2,3,Southern Metropolitan,14.30470388
4,h,1500000,12.2,2,1,Southern Metropolitan,14.22097567
3,h,1060000,12.2,1,2,Southern Metropolitan,13.87377947
5,h,1529500,12.2,3,2,Southern Metropolitan,14.24045144
2,u,600000,12.2,1,1,Southern Metropolitan,13.30468493
2,u,535000,12.2,1,1,Southern Metropolitan,13.19002203
3,h,785000,12.2,1,1,Southern Metropolitan,13.573439
4,h,1240000,12.2,2,2,Southern Metropolitan,14.03062194
2,u,700000,12.2,1,2,Southern Metropolitan,13.45883561
4,h,1350000,12.2,2,1,Southern Metropolitan,14.11561515
2,h,1110000,12.2,1,1,Southern Metropolitan,13.91987057
3,h,1305000,12.2,1,1,Southern Metropolitan,14.0817136
3,h,855000,12.2,2,1,Southern Metropolitan,13.65885675
3,t,900500,12.2,2,2,Southern Metropolitan,13.71070544
3,h,1200000,12.2,2,2,Southern Metropolitan,13.99783211
3,t,830000,12.2,1,2,Southern Metropolitan,13.62918098
3,h,850000,10.5,1,1,Western Metropolitan,13.65299163
3,h,750000,10.5,1,1,Western Metropolitan,13.52782849
3,t,851000,10.5,3,1,Western Metropolitan,13.65416741
3,h,848000,10.5,1,2,Western Metropolitan,13.65063591
4,h,806000,10.5,2,1,Western Metropolitan,13.59983902
4,h,1155000,10.5,2,2,Western Metropolitan,13.9596109
3,h,670000,10.5,2,2,Western Metropolitan,13.41503299
4,h,1200000,10.5,5,4,Western Metropolitan,13.99783211
3,h,636000,10.5,1,2,Western Metropolitan,13.36295384
3,h,680000,10.5,1,2,Western Metropolitan,13.42984808
4,h,1160000,10.5,3,2,Western Metropolitan,13.96393056
3,h,750000,10.5,1,1,Western Metropolitan,13.52782849
3,h,627500,10.5,1,1,Western Metropolitan,13.34949895
